,Borough,Neighborhood,Latitude,Longitude,Geographic code,"Population, 2016"
71,North York,"Lawrence Heights, Lawrence Manor",43.718518,-79.46476329999999,M6A,21048.0
72,North York,Glencairn,43.709577,-79.44507259999997,M6B,28522.0
73,York,Humewood-Cedarvale,43.6937813,-79.42819140000002,M6C,24596.0
74,York,Caledonia-Fairbanks,43.6890256,-79.453512,M6E,38041.0
75,Downtown Toronto,Christie,43.669542,-79.4225637,M6G,32086.0
76,West Toronto,"Dovercourt Village, Dufferin",43.66900510000001,-79.4422593,M6H,44950.0
77,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497,M6J,32684.0
78,West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.6368472,-79.42819140000002,M6K,40957.0
79,North York,"Downsview, North Park, Upwood Park",43.71375620000001,-79.4900738,M6L,20616.0
80,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",43.6911158,-79.47601329999998,M6M,42434.0
81,York,"The Junction North, Runnymede",43.67318529999999,-79.48726190000002,M6N,41243.0
82,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999,M6P,40035.0
83,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,M6R,19857.0
84,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,M6S,34299.0
85,Queen's Park,Queen's Park,43.6623015,-79.3894938,M7A,10.0
87,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,M7Y,10.0
88,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",43.6056466,-79.50132070000002,M8V,37975.0
89,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999,M8W,20674.0
90,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.65365360000001,-79.5069436,M8X,10787.0
91,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6362579,-79.49850909999998,M8Y,21299.0
92,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.6288408,-79.52099940000002,M8Z,17038.0
93,Etobicoke,Islington Avenue,43.6678556,-79.53224240000002,M9A,35594.0
94,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.6509432,-79.55472440000001,M9B,32400.0
95,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.6435152,-79.57720079999999,M9C,38291.0
96,North York,Humber Summit,43.7563033,-79.56596329999998,M9L,11950.0
97,North York,"Emery, Humberlea",43.7247659,-79.53224240000002,M9M,22263.0
98,York,Weston,43.706876,-79.51818840000001,M9N,25074.0
99,Etobicoke,Westmount,43.696319,-79.53224240000002,M9P,20874.0
100,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.55472440000001,M9R,33743.0
101,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.7394164,-79.5884369,M9V,55959.0
102,Etobicoke,Northwest,43.7067483,-79.5940544,M9W,40684.0
