,post_code,income
399,10974,36326
400,11568,75136
401,10577,54963
402,11971,50352
403,10930,44260
404,10509,41644
405,10526,73620
406,10590,70172
407,11952,46803
408,10928,41435
409,10917,41346
410,11968,61771
411,11901,30276
412,10536,84666
413,10504,106228
414,10980,39711
415,10921,38163
416,11963,60482
417,10527,54136
418,11977,56158
419,10512,44684
420,11569,73771
421,10941,32777
422,10931,29191
423,11770,50122
424,11949,40446
425,11980,38834
426,11939,47648
427,10918,35551
428,10963,23638
429,10578,38378
430,10519,97884
431,11948,51603
432,10924,41205
433,11935,48279
434,10506,121965
435,11765,125220
436,11956,53516
437,10518,74590
438,10990,47053
439,11937,66958
440,10986,56319
441,11959,55828
442,11978,55997
443,10973,39565
444,10597,121502
445,10560,69663
446,10579,46908
447,11954,45852
448,10524,59305
449,10576,126593
450,11965,63406
451,11933,38204
452,10916,38073
453,11958,67125
454,10919,32837
455,10926,35065
456,10516,54459
457,11964,53903
458,11932,76389
459,11975,45074
460,11976,91602
461,10998,33654
462,11930,69935
463,10958,31177
464,11957,48720
465,10969,42143
466,10975,75907
467,11962,107046
468,11430,7330
469,10987,59084
