,nb_code,lat,lng,Venue,Venue_ID,Venue Latitude,Venue Longitude,Venue Category
40,11226,40.64643,-73.956866,San Remo Pizzeria,4b5b3c86f964a52046ed28e3,40.640953133255074,-73.96499112808877,Pizza Place
41,11226,40.64643,-73.956866,Anarkali Indian Cuisine,519ff6c8498e1300ddcbd45c,40.64739572933434,-73.968577050064,Indian Restaurant
42,11226,40.64643,-73.956866,Tastee Pattee,4ecd5bf6d3e3521ce230c631,40.65085031485275,-73.94783833098445,Caribbean Restaurant
43,11226,40.64643,-73.956866,Church Fruit Farm,4bc3f045920eb71356391e2c,40.64967662493007,-73.962465251673,Grocery Store
44,11226,40.64643,-73.956866,El Paso Mexican Grill,52b1cc13498e28159d0fadb8,40.63608135533456,-73.96207928816314,Mexican Restaurant
45,11226,40.64643,-73.956866,Coffee Mob,5172b2d4498e646485496d05,40.635841273905065,-73.96256072887337,Coffee Shop
46,11226,40.64643,-73.956866,Flatbush Zombie House,59bc960a603d2a17e3d17e8c,40.65504475274442,-73.95984203277688,Tiki Bar
47,11226,40.64643,-73.956866,Bobby's Department Store,4bf1953ad39ad13a356aaa0e,40.64890676929036,-73.96440287654444,Department Store
48,11226,40.64643,-73.956866,The Yoga Studio,4bf12f5fb315c9b69daf93ff,40.65,-73.95,Yoga Studio
49,11226,40.64643,-73.956866,Flatbush YMCA,4b8ba398f964a52044a532e3,40.63993618270981,-73.95228459514122,Gym
50,11226,40.64643,-73.956866,House of Juice,55e1cbfc498e18a2dbab4126,40.655883290663255,-73.95305880347965,Juice Bar
51,11226,40.64643,-73.956866,Parade Grounds Field 4,4e1a26896284ea7247094b17,40.65185727796626,-73.96731580775506,Baseball Field
52,11226,40.64643,-73.956866,LoDuca Pizza,4b9543f7f964a520e99834e3,40.634920930491674,-73.96266286813963,Pizza Place
53,11226,40.64643,-73.956866,Melany Restaurant,4c5c4f46857ca59311b4c9cb,40.653469025370654,-73.95936350543566,Latin American Restaurant
54,11226,40.64643,-73.956866,Footprints Cafe Express,52b27c86498e50d126766a68,40.637325222435706,-73.95230750631805,Caribbean Restaurant
55,11373,40.737347,-73.878716,Awang Kitchen,58d8ee31d0bb3e33b0fa9ac8,40.73714560379956,-73.87913348238966,Indonesian Restaurant
56,11373,40.737347,-73.878716,Gino's Pizza,4b62355ef964a520523c2ae3,40.73757307389213,-73.87706206968814,Pizza Place
57,11373,40.737347,-73.878716,JoJu,4e0f605462e1d5a30d0ab7ff,40.740689137105754,-73.87938864453935,Vietnamese Restaurant
58,11373,40.737347,-73.878716,Sunrise Bakery & Café,4b0fe04ff964a520be6523e3,40.736903966721954,-73.87934671408803,Bakery
59,11373,40.737347,-73.878716,Shanghai Zhen Gong Fu,5a7f87cc356b49777208f5f4,40.73632190175015,-73.8771457262649,Shanghai Restaurant
60,11373,40.737347,-73.878716,Lahi,5ab83aff62420b3209673e48,40.737362300597404,-73.87945749733227,Filipino Restaurant
61,11373,40.737347,-73.878716,Starbucks,51323ff4e4b006d9cdccfabc,40.73730547,-73.87721925,Coffee Shop
62,11373,40.737347,-73.878716,Fay Da Bakery,4af190f5f964a52063e121e3,40.73764265494055,-73.87671438784922,Bakery
