,rawindex,zip,ll,district,population,popu_permilesquare,rank,zip_group
75,475.,12084,"42.704563, -73.899429","Guilderland, New York",4214,1136.55,"#6,001",120
76,476.,14228,"43.044371, -78.777335","Buffalo, New York",19713,1129.05,"#6,020",142
77,477.,12045,"42.478837, -73.797553","Coeymans, New York",746,1125.11,"#6,025",120
78,478.,10598,"41.286807, -73.798823","Yorktown Heights, New York",29368,1121.59,"#6,032",105
79,479.,14526,"43.151464, -77.444396","Penfield, New York",19789,1120.06,"#6,033",145
80,480.,11786,"40.944455, -72.886049","Shoreham, New York",5883,1118.01,"#6,038",117
81,481.,12065,"42.854836, -73.787492","Clifton Park, New York",38866,1109.20,"#6,053",120
82,482.,13905,"42.173847, -75.936413","Binghamton, New York",27506,1099.40,"#6,074",139
83,483.,13615,"44.007217, -75.979240","Brownville, New York",1027,1099.36,"#6,075",136
84,484.,12144,"42.627836, -73.717842","Rensselaer, New York",18367,1062.86,"#6,174",121
85,485.,14075,"42.713252, -78.833315","Hamburg, New York",42082,1039.63,"#6,229",140
86,486.,10950,"41.317294, -74.197530","Monroe, New York",38791,1005.04,"#6,320",109
87,487.,10588,"41.316837, -73.829264","Shrub Oak, New York",2006,1003.06,"#6,323",105
88,488.,14580,"43.217283, -77.444534","Webster, New York",43824,996.63,"#6,339",145
89,489.,10541,"41.377000, -73.753830","Mahopac, New York",26693,996.17,"#6,341",105
90,490.,14504,"42.967777, -77.233608","Manchester, New York",1312,990.22,"#6,356",145
91,491.,11955,"40.809125, -72.816096","Moriches, New York",2652,985.91,"#6,372",119
92,492.,14534,"43.056890, -77.521042","Pittsford, New York",30270,979.31,"#6,390",145
93,493.,13209,"43.087539, -76.255166","Syracuse, New York",13774,974.30,"#6,408",132
94,494.,10537,"41.355369, -73.879979","Lake Peekskill, New York",2032,971.35,"#6,417",105
95,495.,11724,"40.856500, -73.452894","Cold Spring Harbor, New York",3040,967.48,"#6,425",117
96,496.,14467,"43.043504, -77.618013","Henrietta, New York",8738,964.80,"#6,435",144
97,497.,12590,"41.592556, -73.886853","Wappingers Falls, New York",33523,959.35,"#6,450",125
98,498.,13039,"43.161395, -76.075729","Cicero, New York",14562,958.02,"#6,454",130
99,499.,12471,"41.848432, -74.036220","Rifton, New York",174,953.90,"#6,464",124
100,500.,10589,"41.328630, -73.697168","Somers, New York",7363,943.27,"#6,493",105
1,501.,12054,"42.608547, -73.864416","Delmar, New York",16421,942.13,"#6,500",120
2,502.,10514,"41.172330, -73.768948","Chappaqua, New York",12004,934.13,"#6,516",105
3,503.,10510,"41.138997, -73.834891","Briarcliff Manor, New York",9963,933.06,"#6,519",105
4,504.,13760,"42.133387, -76.084713","Endicott, New York",43954,923.88,"#6,538",137
5,505.,11970,"40.940660, -72.573108","South Jamesport, New York",319,921.80,"#6,544",119
6,506.,11042,"40.758295, -73.697102","New Hyde Park, New York",513,921.42,"#6,546",110
7,507.,13461,"43.077098, -75.587609","Sherrill, New York",3179,917.67,"#6,562",134
8,508.,10520,"41.217976, -73.874882","Croton On Hudson, New York",12590,912.65,"#6,569",105
9,509.,14085,"42.716594, -78.930821","Lake View, New York",5565,908.42,"#6,583",140
10,510.,11771,"40.865967, -73.525877","Oyster Bay, New York",9550,905.99,"#6,587",117
11,511.,12180,"42.748588, -73.599536","Troy, New York",52907,902.72,"#6,593",121
12,512.,14134,"42.534609, -78.521861","Sardinia, New York",16,899.78,"#6,605",141
13,513.,10535,"41.335169, -73.793919","Jefferson Valley, New York",416,886.28,"#6,634",105
14,514.,12411,"41.878105, -74.038886","Bloomington, New York",382,877.54,"#6,656",124
15,515.,12449,"41.997728, -73.992872","Lake Katrine, New York",3557,874.54,"#6,668",124
16,516.,11560,"40.880757, -73.588724","Locust Valley, New York",6815,870.76,"#6,676",115
17,517.,11946,"40.881714, -72.536582","Hampton Bays, New York",12802,868.65,"#6,682",119
18,518.,11944,"41.106515, -72.369487","Greenport, New York",3705,865.29,"#6,694",119
19,519.,10507,"41.232590, -73.692641","Bedford Hills, New York",7646,864.23,"#6,697",105
20,520.,10962,"41.050504, -73.960154","Orangeburg, New York",5580,855.66,"#6,713",109
21,521.,11972,"40.818205, -72.701844","Speonk, New York",692,855.13,"#6,714",119
22,522.,11545,"40.824966, -73.581551","Glen Head, New York",12073,851.05,"#6,720",115
23,523.,13492,"43.114604, -75.337680","Whitesboro, New York",11555,847.90,"#6,727",134
24,524.,12553,"41.460880, -74.072198","New Windsor, New York",22514,845.45,"#6,736",125
25,525.,13901,"42.185729, -75.879685","Binghamton, New York",20106,844.85,"#6,741",139
26,526.,13413,"43.061560, -75.276199","New Hartford, New York",15871,842.71,"#6,745",134
27,527.,14026,"42.942011, -78.689442","Bowmansville, New York",722,842.21,"#6,750",140
28,528.,10549,"41.203948, -73.718025","Mount Kisco, New York",15327,841.96,"#6,751",105
29,529.,12524,"41.532263, -73.889150","Fishkill, New York",14045,838.69,"#6,764",125
30,530.,14086,"42.905511, -78.629121","Lancaster, New York",28516,822.99,"#6,816",140
31,531.,14441,"42.685829, -76.957555","Dresden, New York",344,807.30,"#6,862",144
32,532.,12456,"42.032997, -73.998278","Mount Marion, New York",653,797.12,"#6,897",124
33,533.,11792,"40.946438, -72.835507","Wading River, New York",7156,795.19,"#6,902",117
34,534.,10567,"41.289545, -73.897030","Cortlandt Manor, New York",17805,794.15,"#6,905",105
35,535.,13066,"43.032475, -76.000667","Fayetteville, New York",12299,791.38,"#6,918",130
36,536.,11940,"40.809637, -72.759740","East Moriches, New York",4347,783.63,"#6,963",119
37,537.,12188,"42.819962, -73.694056","Waterford, New York",10610,778.96,"#6,978",121
38,538.,10970,"41.197670, -74.074130","Pomona, New York",9222,769.23,"#7,005",109
39,539.,10901,"41.161496, -74.139021","Suffern, New York",21760,753.54,"#7,056",109
40,540.,10501,"41.288104, -73.759211","Amawalk, New York",843,749.35,"#7,073",105
41,541.,12150,"42.880521, -74.052686","Rotterdam Junction, New York",836,716.15,"#7,191",121
42,542.,12520,"41.428017, -73.996195","Cornwall On Hudson, New York",2918,708.65,"#7,228",125
43,543.,10992,"41.421990, -74.163800","Washingtonville, New York",9367,706.82,"#7,238",109
44,544.,13319,"43.025796, -75.278313","Chadwicks, New York",1018,706.15,"#7,242",133
45,545.,14127,"42.753763, -78.745385","Orchard Park, New York",27762,701.75,"#7,261",141
46,546.,13031,"43.041401, -76.307912","Camillus, New York",14977,692.38,"#7,290",130
47,547.,14048,"42.479105, -79.312833","Dunkirk, New York",16097,681.58,"#7,330",140
48,548.,13834,"42.543366, -74.958799","Portlandville, New York",170,673.95,"#7,358",138
49,549.,10940,"41.446544, -74.478741","Middletown, New York",42860,673.41,"#7,362",109
50,550.,12482,"42.271396, -73.960047","South Cairo, New York",452,662.82,"#7,404",124
51,551.,12518,"41.401437, -74.037497","Cornwall, New York",6276,662.07,"#7,406",125
52,552.,12565,"42.248157, -73.645187","Philmont, New York",1936,657.46,"#7,426",125
53,553.,11961,"40.893355, -72.877865","Ridge, New York",12664,653.83,"#7,445",119
54,554.,14072,"43.017901, -78.962657","Grand Island, New York",18621,651.42,"#7,455",140
55,555.,11960,"40.806462, -72.702460","Remsenburg, New York",822,643.58,"#7,481",119
56,556.,13502,"43.141264, -75.154707","Utica, New York",33505,638.43,"#7,511",135
57,557.,13790,"42.165361, -76.001942","Johnson City, New York",19713,620.49,"#7,578",137
58,558.,13057,"43.087662, -76.035448","East Syracuse, New York",14845,611.01,"#7,625",130
59,559.,12302,"42.878182, -73.982505","Schenectady, New York",27001,607.76,"#7,636",123
60,560.,12077,"42.588163, -73.777695","Glenmont, New York",5719,598.61,"#7,678",120
61,561.,14586,"43.041661, -77.689956","West Henrietta, New York",6197,577.94,"#7,760",145
62,562.,13062,"42.486498, -76.380690","Etna, New York",131,576.98,"#7,765",130
63,563.,12159,"42.651428, -73.885894","Slingerlands, New York",7646,569.90,"#7,797",121
64,564.,14047,"42.687361, -78.986623","Derby, New York",6833,564.44,"#7,818",140
65,565.,12401,"41.938565, -74.056809","Kingston, New York",35722,557.66,"#7,859",124
66,566.,14092,"43.174537, -78.992002","Lewiston, New York",11121,553.03,"#7,889",140
67,567.,10964,"41.017211, -73.913870","Palisades, New York",1282,544.89,"#7,930",109
68,568.,12306,"42.805431, -74.044234","Schenectady, New York",24581,541.45,"#7,947",123
69,569.,12866,"43.092690, -73.735445","Saratoga Springs, New York",34570,532.87,"#7,993",128
70,570.,13664,"44.584961, -75.648193","Morristown, New York",340,530.40,"#8,003",136
71,571.,11719,"40.780748, -72.909617","Brookhaven, New York",2965,523.77,"#8,041",117
72,572.,11947,"40.947855, -72.575934","Jamesport, New York",218,520.36,"#8,056",119
73,573.,14901,"42.087649, -76.746938","Elmira, New York",17845,519.95,"#8,059",149
74,574.,11941,"40.828756, -72.718536","Eastport, New York",2275,518.52,"#8,068",119
75,575.,11942,"40.850055, -72.587962","East Quogue, New York",3981,515.64,"#8,080",119
76,576.,10546,"41.203621, -73.796171","Millwood, New York",1224,515.55,"#8,081",105
77,577.,12486,"41.834702, -74.062603","Tillson, New York",1595,513.43,"#8,094",124
78,578.,12008,"42.848917, -73.912735","Alplaus, New York",431,512.72,"#8,099",120
79,579.,13850,"42.049395, -76.017594","Vestal, New York",26685,512.61,"#8,100",138
80,580.,10974,"41.154310, -74.200465","Sloatsburg, New York",3183,512.05,"#8,108",109
81,581.,12538,"41.792345, -73.893141","Hyde Park, New York",12653,511.18,"#8,113",125
82,582.,14721,"42.000558, -78.251649","Ceres, New York",102,505.70,"#8,140",147
83,583.,12198,"42.672453, -73.632704","Wynantskill, New York",7295,497.34,"#8,178",121
84,584.,11568,"40.786513, -73.598478","Old Westbury, New York",3992,494.55,"#8,197",115
85,585.,14031,"42.983128, -78.614262","Clarence, New York",8769,491.89,"#8,209",140
86,586.,10577,"41.041731, -73.709727","Purchase, New York",3454,491.15,"#8,215",105
87,587.,11971,"41.059912, -72.427282","Southold, New York",5575,487.56,"#8,239",119
88,588.,10930,"41.361676, -74.113297","Highland Mills, New York",7400,487.56,"#8,240",109
89,589.,13041,"43.192089, -76.192302","Clay, New York",9818,486.95,"#8,243",130
90,590.,14850,"42.431831, -76.500228","Ithaca, New York",63396,483.19,"#8,267",148
91,591.,13903,"42.041886, -75.889073","Binghamton, New York",19282,475.42,"#8,306",139
92,592.,10509,"41.422360, -73.580154","Brewster, New York",18913,470.16,"#8,339",105
93,593.,14701,"42.081025, -79.253512","Jamestown, New York",42904,468.46,"#8,351",147
94,594.,10526,"41.294835, -73.662114","Goldens Bridge, New York",1652,464.20,"#8,380",105
95,595.,10590,"41.255441, -73.539322","South Salem, New York",7212,462.92,"#8,388",105
96,596.,11952,"41.001012, -72.543737","Mattituck, New York",4680,460.63,"#8,408",119
97,597.,10928,"41.348970, -73.998495","Highland Falls, New York",5358,460.33,"#8,410",109
98,598.,10917,"41.322562, -74.120871","Central Valley, New York",1650,456.76,"#8,427",109
99,599.,12019,"42.945577, -73.834562","Ballston Lake, New York",13320,456.07,"#8,435",120
100,600.,12586,"41.565744, -74.179081","Walden, New York",11527,455.68,"#8,437",125
1,601.,14102,"42.835266, -78.563136","Marilla, New York",1111,454.44,"#8,442",141
2,602.,14480,"42.839522, -77.708389","Lakeville, New York",641,451.18,"#8,456",144
3,603.,12804,"43.340954, -73.685911","Queensbury, New York",24083,450.81,"#8,458",128
4,604.,11968,"40.905917, -72.415656","Southampton, New York",12032,436.53,"#8,556",119
5,605.,12533,"41.561643, -73.787605","Hopewell Junction, New York",22254,435.17,"#8,572",125
6,606.,13027,"43.173534, -76.365491","Baldwinsville, New York",29108,434.72,"#8,576",130
7,607.,12061,"42.594948, -73.659578","East Greenbush, New York",7872,433.02,"#8,590",120
8,608.,11901,"40.924693, -72.648656","Riverhead, New York",22897,431.22,"#8,604",119
9,609.,12472,"41.849570, -74.076786","Rosendale, New York",1654,430.29,"#8,609",124
10,610.,14425,"42.990428, -77.332531","Farmington, New York",9658,429.51,"#8,614",144
11,611.,10536,"41.296920, -73.729864","Katonah, New York",10612,428.51,"#8,618",105
12,612.,12513,"42.219307, -73.720481","Claverack, New York",1043,427.87,"#8,625",125
13,613.,12901,"44.704021, -73.471148","Plattsburgh, New York",32253,426.59,"#8,638",129
14,614.,12979,"44.987143, -73.375296","Rouses Point, New York",2450,426.20,"#8,644",129
15,615.,10504,"41.134968, -73.698635","Armonk, New York",7185,425.72,"#8,649",105
16,616.,10980,"41.258097, -74.030157","Stony Point, New York",12670,423.53,"#8,662",109
17,617.,10921,"41.328266, -74.372269","Florida, New York",3879,414.81,"#8,709",109
18,618.,11963,"40.989760, -72.315663","Sag Harbor, New York",6664,411.57,"#8,728",119
19,619.,12771,"41.375285, -74.631515","Port Jervis, New York",13847,408.00,"#8,753",127
20,620.,13215,"42.980793, -76.223386","Syracuse, New York",14461,406.90,"#8,758",132
21,621.,14094,"43.157693, -78.702073","Lockport, New York",51376,405.29,"#8,770",140
22,622.,10527,"41.321183, -73.769878","Granite Springs, New York",1097,405.03,"#8,773",105
23,623.,11977,"40.844797, -72.694993","Westhampton, New York",2143,404.86,"#8,775",119
24,624.,12027,"42.935415, -73.907816","Burnt Hills, New York",3659,404.45,"#8,777",120
25,625.,10512,"41.447747, -73.709884","Carmel, New York",23924,396.59,"#8,828",105
26,626.,11569,"40.608435, -73.590373","Point Lookout, New York",1559,396.57,"#8,829",115
27,627.,13341,"43.036698, -75.397188","Franklin Springs, New York",54,394.32,"#8,851",133
28,628.,14555,"43.257062, -76.991465","Sodus Point, New York",1287,393.57,"#8,854",145
29,629.,14006,"42.633073, -79.021726","Angola, New York",10884,393.03,"#8,859",140
30,630.,10941,"41.491652, -74.344240","Middletown, New York",13118,390.34,"#8,885",109
31,631.,14506,"43.002205, -77.505265","Mendon, New York",1289,390.22,"#8,886",145
32,632.,13904,"42.128281, -75.801040","Binghamton, New York",9619,387.00,"#8,910",139
33,633.,12563,"41.503887, -73.572979","Patterson, New York",7252,383.81,"#8,937",125
34,634.,13638,"44.019032, -75.759378","Felts Mills, New York",363,382.81,"#8,953",136
35,635.,14750,"42.076991, -79.327748","Lakewood, New York",4623,382.70,"#8,956",147
36,636.,14559,"43.189993, -77.819055","Spencerport, New York",15919,382.66,"#8,958",145
37,637.,13838,"42.285099, -75.388127","Sidney, New York",4956,380.50,"#8,975",138
38,638.,10931,"41.127584, -74.170333","Hillburn, New York",881,377.37,"#9,006",109
39,639.,12839,"43.354486, -73.553953","Hudson Falls, New York",11945,374.62,"#9,025",128
40,640.,13440,"43.217344, -75.459735","Rome, New York",44797,374.33,"#9,026",134
41,641.,12051,"42.344518, -73.828765","Coxsackie, New York",6905,373.22,"#9,035",120
42,642.,14083,"42.677412, -78.440118","Java Village, New York",43,372.22,"#9,039",140
43,643.,13616,"44.032051, -75.870748","Calcium, New York",2341,370.99,"#9,053",136
44,644.,11770,"40.644757, -73.160803","Ocean Beach, New York",190,367.09,"#9,080",117
45,645.,13126,"43.438798, -76.457454","Oswego, New York",36454,364.78,"#9,095",131
46,646.,11949,"40.860476, -72.793791","Manorville, New York",11385,362.11,"#9,111",119
47,647.,12020,"43.001948, -73.868841","Ballston Spa, New York",28068,361.74,"#9,116",120
48,648.,12542,"41.613876, -74.015014","Marlboro, New York",5818,359.54,"#9,134",125
49,649.,12570,"41.613737, -73.670422","Poughquag, New York",5884,359.28,"#9,137",125
50,650.,11980,"40.831652, -72.923760","Yaphank, New York",4221,358.25,"#9,146",119
51,651.,14903,"42.131632, -76.871851","Elmira, New York",7600,358.23,"#9,147",149
52,652.,13357,"42.970962, -75.081183","Ilion, New York",11555,353.35,"#9,191",133
53,653.,11939,"41.135116, -72.339675","East Marion, New York",777,353.18,"#9,194",119
54,654.,13021,"42.922181, -76.561464","Auburn, New York",41704,344.08,"#9,257",130
55,655.,12118,"42.923768, -73.718177","Mechanicville, New York",11767,340.76,"#9,281",121
56,656.,10918,"41.344192, -74.262177","Chester, New York",11492,340.65,"#9,282",109
57,657.,14020,"43.001476, -78.214875","Batavia, New York",23055,338.17,"#9,304",140
58,658.,14059,"42.835012, -78.642549","Elma, New York",8937,337.86,"#9,308",140
59,659.,10963,"41.472208, -74.542990","Otisville, New York",4660,335.94,"#9,324",109
60,660.,13421,"43.061915, -75.660092","Oneida, New York",13192,335.89,"#9,325",134
61,661.,10578,"41.320276, -73.678991","Purdys, New York",661,331.70,"#9,359",105
62,662.,10519,"41.342055, -73.661095","Croton Falls, New York",156,329.62,"#9,383",105
63,663.,11948,"40.963769, -72.553554","Laurel, New York",903,329.36,"#9,385",119
64,664.,14420,"43.213653, -77.937505","Brockport, New York",19307,327.81,"#9,395",144
65,665.,10924,"41.381005, -74.352471","Goshen, New York",12308,325.11,"#9,424",109
66,666.,13748,"42.042579, -75.822521","Conklin, New York",4067,325.07,"#9,425",137
67,667.,11935,"41.021223, -72.486958","Cutchogue, New York",3444,324.13,"#9,437",119
68,668.,13313,"42.878248, -75.267671","Bridgewater, New York",620,324.08,"#9,439",133
69,669.,13029,"43.221243, -76.144434","Brewerton, New York",5684,324.06,"#9,440",130
70,670.,13350,"43.061013, -74.986356","Herkimer, New York",9878,324.06,"#9,441",133
71,671.,10506,"41.190889, -73.638479","Bedford, New York",5537,320.81,"#9,475",105
72,672.,14760,"42.063776, -78.404837","Olean, New York",20510,317.64,"#9,501",147
73,673.,11765,"40.881909, -73.553311","Mill Neck, New York",732,313.92,"#9,532",117
74,674.,11956,"40.976187, -72.466401","New Suffolk, New York",316,312.87,"#9,544",119
75,675.,12733,"41.727393, -74.606582","Fallsburg, New York",1608,312.12,"#9,552",127
76,676.,10518,"41.277016, -73.602519","Cross River, New York",1552,311.39,"#9,563",105
77,677.,14468,"43.290542, -77.808702","Hilton, New York",16526,309.35,"#9,583",144
78,678.,10990,"41.269726, -74.366389","Warwick, New York",19315,308.60,"#9,593",109
79,679.,12821,"43.453350, -73.408531","Comstock, New York",3219,307.18,"#9,610",128
80,680.,12547,"41.660687, -73.986567","Milton, New York",2350,306.29,"#9,619",125
81,681.,11937,"41.008427, -72.194482","East Hampton, New York",13289,306.18,"#9,621",119
82,682.,12477,"42.091943, -73.990006","Saugerties, New York",20199,306.12,"#9,622",124
83,683.,13104,"42.963030, -75.948439","Manlius, New York",14414,305.89,"#9,625",131
84,684.,12419,"41.852184, -74.107250","Cottekill, New York",315,303.08,"#9,656",124
85,685.,13859,"42.372486, -75.245254","Wells Bridge, New York",213,302.57,"#9,662",138
86,686.,12086,"43.009005, -74.086332","Hagaman, New York",1554,302.37,"#9,666",120
87,687.,12577,"41.424982, -74.109743","Salisbury Mills, New York",1614,299.60,"#9,702",125
88,688.,14513,"43.063469, -77.100046","Newark, New York",14858,298.77,"#9,708",145
89,689.,14716,"42.376294, -79.436818","Brocton, New York",3641,295.48,"#9,745",147
90,690.,12196,"42.631786, -73.613946","West Sand Lake, New York",2841,295.33,"#9,747",121
91,691.,13323,"43.040114, -75.379336","Clinton, New York",11772,295.10,"#9,750",133
92,692.,12561,"41.750978, -74.110614","New Paltz, New York",17435,294.15,"#9,758",125
93,693.,12528,"41.713907, -73.995071","Highland, New York",12770,290.49,"#9,797",125
94,694.,10986,"41.272382, -73.985586","Tomkins Cove, New York",1739,290.00,"#9,805",109
95,695.,13601,"43.976818, -75.914247","Watertown, New York",36990,289.22,"#9,812",136
96,696.,14203,"42.848139, -78.847987","Buffalo, New York",1009,288.60,"#9,820",142
97,697.,11959,"40.827003, -72.602522","Quogue, New York",1015,282.85,"#9,879",119
98,698.,12515,"41.679444, -74.064879","Clintondale, New York",1068,278.89,"#9,928",125
99,699.,14063,"42.408411, -79.331104","Fredonia, New York",14690,278.39,"#9,932",140
100,700.,14052,"42.772537, -78.584397","East Aurora, New York",18248,277.10,"#9,948",140
1,701.,12582,"41.550169, -73.726637","Stormville, New York",4550,275.44,"#9,965",125
2,702.,14519,"43.233972, -77.314631","Ontario, New York",11020,272.43,"#10,002",145
3,703.,13732,"42.049447, -76.167535","Apalachin, New York",8380,269.93,"#10,029",137
4,704.,12569,"41.734557, -73.792840","Pleasant Valley, New York",8842,268.79,"#10,039",125
5,705.,14456,"42.846127, -77.006235","Geneva, New York",20216,267.42,"#10,055",144
6,706.,13403,"43.164533, -75.267645","Marcy, New York",7919,267.07,"#10,063",134
7,707.,12151,"42.922697, -73.787225","Round Lake, New York",706,266.99,"#10,064",121
8,708.,14464,"43.326618, -77.929685","Hamlin, New York",7637,262.22,"#10,130",144
9,709.,12033,"42.543138, -73.705499","Castleton On Hudson, New York",8188,258.63,"#10,171",120
10,710.,12721,"41.568348, -74.427346","Bloomingburg, New York",5513,258.44,"#10,175",127
11,711.,14502,"43.109233, -77.344072","Macedon, New York",9197,258.28,"#10,179",145
12,712.,11978,"40.829341, -72.629768","Westhampton Beach, New York",3800,257.60,"#10,193",119
13,713.,14568,"43.159881, -77.281348","Walworth, New York",5874,256.75,"#10,209",145
14,714.,12015,"42.292243, -73.821532","Athens, New York",2832,255.48,"#10,229",120
15,715.,14814,"42.141860, -76.950494","Big Flats, New York",1747,255.46,"#10,230",148
16,716.,12571,"42.007516, -73.823254","Red Hook, New York",11834,254.75,"#10,240",125
17,717.,13045,"42.587244, -76.188554","Cortland, New York",29174,254.34,"#10,247",130
18,718.,12759,"41.786385, -74.660591","Loch Sheldrake, New York",1683,252.83,"#10,263",127
19,719.,14845,"42.203190, -76.839324","Horseheads, New York",19892,252.32,"#10,271",148
20,720.,12143,"42.489818, -73.855238","Ravena, New York",5348,251.66,"#10,276",121
21,721.,12589,"41.626536, -74.145217","Wallkill, New York",13261,251.01,"#10,294",125
22,722.,10973,"41.380516, -74.480462","Slate Hill, New York",1887,249.91,"#10,308",109
23,723.,14004,"42.898738, -78.517223","Alden, New York",12241,249.11,"#10,328",140
24,724.,12489,"41.755712, -74.349070","Wawarsing, New York",290,245.85,"#10,371",124
25,725.,12063,"42.553220, -73.632347","East Schodack, New York",192,243.82,"#10,391",120
26,726.,12594,"41.646342, -73.562593","Wingdale, New York",3618,241.34,"#10,418",125
27,727.,14564,"42.981266, -77.431077","Victor, New York",9903,240.84,"#10,425",145
28,728.,12548,"41.657693, -74.101817","Modena, New York",1528,237.62,"#10,468",125
29,729.,12439,"42.295070, -74.213326","Hensonville, New York",107,237.34,"#10,472",124
30,730.,14174,"43.249139, -78.998325","Youngstown, New York",5742,236.60,"#10,480",141
31,731.,10597,"41.292024, -73.606222","Waccabuc, New York",445,234.44,"#10,506",105
32,732.,13602,"44.061817, -75.741909","Fort Drum, New York",4651,233.61,"#10,519",136
33,733.,12443,"41.934991, -74.084925","Hurley, New York",3859,231.03,"#10,554",124
34,734.,14032,"43.046776, -78.631524","Clarence Center, New York",5553,230.32,"#10,567",140
35,735.,10560,"41.340527, -73.597609","North Salem, New York",4941,230.14,"#10,569",105
36,736.,12779,"41.696285, -74.628008","South Fallsburg, New York",1544,228.61,"#10,599",127
37,737.,13424,"43.158842, -75.357088","Oriskany, New York",2744,227.77,"#10,609",134
38,738.,14034,"42.495620, -78.860854","Collins, New York",6105,226.80,"#10,624",140
39,739.,14830,"42.129568, -77.029569","Corning, New York",19342,226.66,"#10,629",148
40,740.,12010,"42.935694, -74.172293","Amsterdam, New York",28544,225.69,"#10,642",120
41,741.,14132,"43.152672, -78.867925","Sanborn, New York",5572,225.19,"#10,650",141
42,742.,10985,"41.583519, -74.373188","Thompson Ridge, New York",57,221.72,"#10,701",109
43,743.,12754,"41.802957, -74.745419","Liberty, New York",7130,221.61,"#10,705",127
44,744.,13069,"43.329278, -76.380658","Fulton, New York",26451,221.49,"#10,708",130
45,745.,12831,"43.190815, -73.691874","Gansevoort, New York",14204,220.64,"#10,718",128
46,746.,10579,"41.397661, -73.839130","Putnam Valley, New York",7945,219.04,"#10,747",105
47,747.,12498,"42.046044, -74.109455","Woodstock, New York",5417,218.90,"#10,750",124
48,748.,14136,"42.521331, -79.175253","Silver Creek, New York",5429,217.26,"#10,775",141
49,749.,14808,"42.563230, -77.467272","Atlanta, New York",595,215.42,"#10,796",148
50,750.,12095,"43.034887, -74.423556","Johnstown, New York",12911,215.18,"#10,799",120
51,751.,14108,"43.264549, -78.733324","Newfane, New York",5938,214.29,"#10,814",141
52,752.,11954,"41.047283, -71.949541","Montauk, New York",3851,212.23,"#10,850",119
53,753.,13037,"43.058819, -75.867355","Chittenango, New York",8772,211.91,"#10,858",130
54,754.,12549,"41.520026, -74.257424","Montgomery, New York",8670,211.88,"#10,859",125
55,755.,13078,"42.958484, -76.061077","Jamesville, New York",8625,211.68,"#10,865",130
56,756.,10524,"41.375242, -73.926122","Garrison, New York",4232,211.06,"#10,876",105
57,757.,12463,"42.185728, -74.028971","Palenville, New York",1360,209.17,"#10,912",124
58,758.,10171,"40.755899, -73.973858","New York, New York",1,207.69,"#10,932",101
59,759.,13469,"43.214828, -75.302367","Stittville, New York",807,207.60,"#10,934",134
60,760.,13120,"42.933170, -76.175146","Nedrow, New York",2998,207.18,"#10,938",131
61,761.,10576,"41.221577, -73.572332","Pound Ridge, New York",4530,207.08,"#10,944",105
62,762.,12534,"42.224111, -73.756154","Hudson, New York",18686,207.03,"#10,945",125
63,763.,12531,"41.520881, -73.659921","Holmes, New York",3051,206.92,"#10,948",125
64,764.,12481,"41.976090, -74.207238","Shokan, New York",1269,206.12,"#10,961",124
65,765.,14892,"42.046025, -76.529114","Waverly, New York",8258,205.53,"#10,973",148
66,766.,12841,"43.639940, -73.507678","Huletts Landing, New York",87,205.47,"#10,975",128
67,767.,14894,"42.019488, -76.750371","Wellsburg, New York",2531,204.75,"#10,984",148
68,768.,12148,"42.827793, -73.848164","Rexford, New York",2929,203.00,"#11,023",121
69,769.,13108,"42.964845, -76.331113","Marcellus, New York",6057,202.80,"#11,028",131
70,770.,12540,"41.669552, -73.714516","Lagrangeville, New York",6633,201.11,"#11,057",125
71,771.,14874,"42.531888, -77.178619","Pulteney, New York",216,200.32,"#11,071",148
72,772.,13082,"43.102730, -75.959888","Kirkville, New York",5012,200.31,"#11,072",130
73,773.,13135,"43.248350, -76.332359","Phoenix, New York",5750,199.91,"#11,077",131
74,774.,12158,"42.542092, -73.822124","Selkirk, New York",5779,198.58,"#11,097",121
75,775.,12186,"42.640203, -73.982848","Voorheesville, New York",6461,198.14,"#11,103",121
76,776.,12078,"43.134351, -74.339632","Gloversville, New York",23853,197.78,"#11,107",120
77,777.,11965,"41.076855, -72.341896","Shelter Island Heights, New York",1080,197.17,"#11,116",119
78,778.,13820,"42.483429, -75.036905","Oneonta, New York",21058,196.48,"#11,125",138
79,779.,14454,"42.797774, -77.774638","Geneseo, New York",10207,196.14,"#11,130",144
80,780.,11933,"40.917015, -72.754074","Calverton, New York",5857,195.65,"#11,142",119
81,781.,13060,"43.024403, -76.423425","Elbridge, New York",2852,195.12,"#11,150",130
82,782.,13795,"42.056638, -75.778938","Kirkwood, New York",3770,194.86,"#11,156",137
83,783.,12491,"41.965186, -74.141441","West Hurley, New York",1610,194.77,"#11,157",124
84,784.,13030,"43.148972, -76.033624","Bridgeport, New York",4272,192.63,"#11,201",130
85,785.,14522,"43.061864, -77.224684","Palmyra, New York",8766,192.36,"#11,205",145
86,786.,14424,"42.856695, -77.303277","Canandaigua, New York",24878,192.11,"#11,211",144
87,787.,10916,"41.442343, -74.250577","Campbell Hall, New York",4070,190.32,"#11,246",109
88,788.,12184,"42.420039, -73.653177","Valatie, New York",7273,190.22,"#11,247",121
89,789.,12580,"41.863651, -73.871535","Staatsburg, New York",3869,189.95,"#11,255",125
90,790.,12487,"41.877496, -73.999323","Ulster Park, New York",3856,188.14,"#11,290",124
91,791.,13662,"44.933501, -74.878245","Massena, New York",16729,186.04,"#11,350",136
