,rawindex,zip,ll,district,population,popu_permilesquare,rank,zip_group
43,243.,11801,"40.762304, -73.524452","Hicksville, New York",39449,5886.96,"#1,353",118
44,244.,14207,"42.952131, -78.898018","Buffalo, New York",22986,5869.13,"#1,361",142
45,245.,11572,"40.630521, -73.637745","Oceanside, New York",31241,5811.68,"#1,381",115
46,246.,11552,"40.692979, -73.652416","West Hempstead, New York",23309,5764.81,"#1,400",115
47,247.,11096,"40.621346, -73.756990","Inwood, New York",7975,5652.90,"#1,436",110
48,248.,14301,"43.097462, -79.031824","Niagara Falls, New York",14257,5638.63,"#1,444",143
49,249.,13205,"43.004501, -76.141720","Syracuse, New York",20592,5613.24,"#1,459",132
50,250.,12209,"42.638363, -73.787960","Albany, New York",9772,5551.27,"#1,486",122
51,251.,13208,"43.078289, -76.145325","Syracuse, New York",21440,5492.83,"#1,504",132
52,252.,10303,"40.629885, -74.174130","Staten Island, New York",23530,5426.00,"#1,530",103
53,253.,11701,"40.686412, -73.412398","Amityville, New York",26379,5418.60,"#1,533",117
54,254.,11783,"40.673140, -73.491849","Seaford, New York",22162,5410.64,"#1,537",117
55,255.,14202,"42.881855, -78.877198","Buffalo, New York",4136,5347.45,"#1,561",142
56,256.,13202,"43.043592, -76.150628","Syracuse, New York",5434,5308.76,"#1,581",132
57,257.,10803,"40.899532, -73.805883","Pelham, New York",12124,5235.08,"#1,611",108
58,258.,11703,"40.732670, -73.325925","North Babylon, New York",16336,5198.82,"#1,631",117
59,259.,14210,"42.864041, -78.832957","Buffalo, New York",16681,5160.82,"#1,648",142
60,260.,10566,"41.287672, -73.917786","Peekskill, New York",22441,5144.16,"#1,658",105
61,261.,11704,"40.717504, -73.358203","West Babylon, New York",40114,5132.92,"#1,662",117
62,262.,10710,"40.967157, -73.846339","Yonkers, New York",25202,5080.70,"#1,677",107
63,263.,11514,"40.749920, -73.614017","Carle Place, New York",5214,5051.58,"#1,690",115
64,264.,14616,"43.234256, -77.653267","Rochester, New York",27119,5028.69,"#1,703",146
65,265.,10538,"40.937865, -73.755930","Larchmont, New York",16780,4903.75,"#1,763",105
66,266.,11422,"40.632030, -73.766051","Rosedale, New York",30449,4873.21,"#1,783",114
67,267.,14604,"43.157078, -77.604677","Rochester, New York",1683,4859.79,"#1,789",146
68,268.,11717,"40.783955, -73.252256","Brentwood, New York",51485,4811.43,"#1,816",117
69,269.,11795,"40.708202, -73.303076","West Islip, New York",27127,4796.40,"#1,825",117
70,270.,10927,"41.191052, -73.967562","Haverstraw, New York",10117,4766.39,"#1,835",109
71,271.,11709,"40.908648, -73.560926","Bayville, New York",7135,4623.98,"#1,923",117
72,272.,11023,"40.799784, -73.733445","Great Neck, New York",8501,4602.49,"#1,938",110
73,273.,11803,"40.781700, -73.473035","Plainview, New York",27767,4592.07,"#1,945",118
74,274.,13207,"43.012868, -76.163401","Syracuse, New York",14890,4586.69,"#1,950",132
75,275.,11579,"40.844004, -73.644012","Sea Cliff, New York",5141,4586.12,"#1,951",115
76,276.,12202,"42.634583, -73.763986","Albany, New York",10021,4555.80,"#1,980",122
77,277.,11784,"40.869063, -73.040402","Selden, New York",26411,4538.64,"#1,997",117
78,278.,12305,"42.815918, -73.944331","Schenectady, New York",5922,4514.94,"#2,008",123
79,279.,12208,"42.652519, -73.807897","Albany, New York",21307,4499.43,"#2,016",122
80,280.,10543,"40.953743, -73.736180","Mamaroneck, New York",19427,4498.69,"#2,017",105
81,281.,11729,"40.762698, -73.321445","Deer Park, New York",28280,4452.72,"#2,043",117
82,282.,11693,"40.611082, -73.822757","Far Rockaway, New York",11157,4421.44,"#2,061",116
83,283.,10522,"41.010310, -73.863746","Dobbs Ferry, New York",10622,4393.12,"#2,077",105
84,284.,14206,"42.880078, -78.810472","Buffalo, New York",22988,4384.32,"#2,084",142
85,285.,10993,"41.209896, -73.973842","West Haverstraw, New York",4263,4336.89,"#2,111",109
86,286.,13204,"43.051756, -76.178000","Syracuse, New York",20826,4335.77,"#2,114",132
87,287.,10968,"41.036334, -73.921633","Piermont, New York",2424,4327.38,"#2,119",109
88,288.,11758,"40.662298, -73.458413","Massapequa, New York",54933,4269.51,"#2,151",117
89,289.,11566,"40.651637, -73.551927","Merrick, New York",35606,4208.12,"#2,197",115
90,290.,11789,"40.957123, -72.971270","Sound Beach, New York",7660,4169.97,"#2,221",117
91,291.,10977,"41.118920, -74.048158","Spring Valley, New York",49211,4165.50,"#2,224",109
92,292.,11722,"40.785083, -73.192931","Central Islip, New York",34491,4144.04,"#2,236",117
93,293.,10530,"41.023712, -73.812810","Hartsdale, New York",12453,4100.18,"#2,267",105
94,294.,14226,"42.971014, -78.796455","Buffalo, New York",29382,4086.59,"#2,278",142
95,295.,11577,"40.784638, -73.640578","Roslyn Heights, New York",12176,4085.05,"#2,279",115
96,296.,11558,"40.611322, -73.662331","Island Park, New York",8553,4058.93,"#2,300",115
97,297.,13501,"43.081159, -75.225020","Utica, New York",36076,4053.65,"#2,304",135
98,298.,11714,"40.743967, -73.479983","Bethpage, New York",23012,3919.34,"#2,382",117
99,299.,13206,"43.074194, -76.105762","Syracuse, New York",16562,3872.20,"#2,414",132
100,300.,14614,"43.157055, -77.615197","Rochester, New York",926,3864.27,"#2,418",146
1,301.,10309,"40.530847, -74.221178","Staten Island, New York",27207,3862.03,"#2,423",103
2,302.,11542,"40.869660, -73.628113","Glen Cove, New York",27693,3851.36,"#2,437",115
3,303.,10923,"41.203213, -74.002535","Garnerville, New York",9273,3839.40,"#2,448",109
4,304.,11741,"40.794354, -73.069968","Holbrook, New York",27857,3777.43,"#2,501",117
5,305.,11751,"40.733051, -73.212519","Islip, New York",15083,3740.96,"#2,532",117
6,306.,10503,"41.025560, -73.874987","Ardsley On Hudson, New York",115,3711.09,"#2,553",105
7,307.,14445,"43.113720, -77.489532","East Rochester, New York",8179,3627.26,"#2,628",144
8,308.,12801,"43.312294, -73.645255","Glens Falls, New York",14374,3620.84,"#2,638",128
9,309.,11548,"40.814616, -73.622003","Greenvale, New York",2514,3577.51,"#2,686",115
10,310.,11798,"40.751870, -73.371077","Wyandanch, New York",15199,3564.91,"#2,699",117
11,311.,10605,"41.007018, -73.744338","White Plains, New York",17414,3539.91,"#2,714",106
12,312.,11950,"40.809045, -72.847221","Mastic, New York",14583,3510.68,"#2,741",119
13,313.,11731,"40.862927, -73.316829","East Northport, New York",31250,3510.64,"#2,742",117
14,314.,10952,"41.116210, -74.078881","Monsey, New York",31947,3484.57,"#2,760",109
15,315.,11755,"40.858961, -73.120478","Lake Grove, New York",11402,3475.49,"#2,765",117
16,316.,11706,"40.720471, -73.259399","Bay Shore, New York",60460,3435.12,"#2,794",117
17,317.,10960,"41.092282, -73.925728","Nyack, New York",14687,3431.92,"#2,798",109
18,318.,11718,"40.723177, -73.268488","Brightwaters, New York",3061,3431.70,"#2,799",117
19,319.,10603,"41.057813, -73.777196","White Plains, New York",16389,3426.90,"#2,801",106
20,320.,14610,"43.143492, -77.545899","Rochester, New York",14534,3424.82,"#2,802",146
21,321.,11720,"40.869907, -73.081937","Centereach, New York",28105,3394.21,"#2,830",117
22,322.,11509,"40.587962, -73.729710","Atlantic Beach, New York",2861,3375.95,"#2,841",115
23,323.,14043,"42.900438, -78.701764","Depew, New York",26537,3365.10,"#2,851",140
24,324.,14802,"42.254333, -77.789646","Alfred, New York",3954,3323.13,"#2,889",148
25,325.,13219,"43.041266, -76.224195","Syracuse, New York",15700,3294.10,"#2,921",132
26,326.,11530,"40.728551, -73.631351","Garden City, New York",26482,3276.11,"#2,948",115
27,327.,11767,"40.847754, -73.145703","Nesconset, New York",13841,3271.23,"#2,951",117
28,328.,10528,"40.974752, -73.725777","Harrison, New York",12312,3238.25,"#2,994",105
29,329.,10804,"40.946841, -73.788051","New Rochelle, New York",14131,3211.79,"#3,010",108
30,330.,11738,"40.837386, -73.037968","Farmingville, New York",16811,3211.46,"#3,011",117
31,331.,10532,"41.100192, -73.798695","Hawthorne, New York",5582,3197.88,"#3,023",105
32,332.,10502,"41.014059, -73.839744","Ardsley, New York",4935,3153.93,"#3,052",105
33,333.,11793,"40.650294, -73.514561","Wantagh, New York",32753,3150.70,"#3,056",117
34,334.,10954,"41.099029, -74.012296","Nanuet, New York",23189,3123.73,"#3,075",109
35,335.,10583,"40.988682, -73.789204","Scarsdale, New York",39091,3121.83,"#3,078",105
36,336.,11557,"40.635065, -73.691343","Hewlett, New York",7966,3112.17,"#3,091",115
37,337.,11776,"40.913812, -73.046148","Port Jefferson Station, New York",22440,3087.49,"#3,109",117
38,338.,11772,"40.771471, -72.995182","Patchogue, New York",41913,3071.46,"#3,131",117
39,339.,14606,"43.170996, -77.697914","Rochester, New York",29187,2981.03,"#3,222",146
40,340.,11725,"40.840996, -73.280948","Commack, New York",29412,2979.12,"#3,224",117
41,341.,14150,"42.997524, -78.878511","Tonawanda, New York",44535,2944.39,"#3,271",141
42,342.,12183,"42.746893, -73.693861","Troy, New York",2278,2944.20,"#3,272",121
43,343.,11735,"40.734243, -73.428600","Farmingdale, New York",32159,2925.28,"#3,291",117
44,344.,12203,"42.678763, -73.845869","Albany, New York",32866,2913.19,"#3,305",122
45,345.,11796,"40.729245, -73.099841","West Sayville, New York",3835,2902.73,"#3,312",117
46,346.,11050,"40.839895, -73.693128","Port Washington, New York",28545,2880.49,"#3,336",110
47,347.,11753,"40.788668, -73.541676","Jericho, New York",11648,2878.28,"#3,342",117
48,348.,14225,"42.928824, -78.752459","Buffalo, New York",35893,2848.60,"#3,379",142
49,349.,11779,"40.812431, -73.116108","Ronkonkoma, New York",39321,2844.32,"#3,384",117
50,350.,14617,"43.224205, -77.594485","Rochester, New York",22967,2821.19,"#3,417",146
51,351.,11804,"40.766708, -73.451812","Old Bethpage, New York",5014,2794.57,"#3,439",118
52,352.,10965,"41.061482, -74.015910","Pearl River, New York",14522,2791.69,"#3,441",109
53,353.,11790,"40.903592, -73.131054","Stony Brook, New York",18374,2775.54,"#3,464",117
54,354.,12304,"42.771569, -73.895695","Schenectady, New York",20969,2772.23,"#3,468",123
55,355.,13088,"43.108742, -76.186383","Liverpool, New York",22139,2742.59,"#3,498",130
56,356.,14227,"42.886935, -78.730383","Buffalo, New York",24573,2740.38,"#3,500",142
57,357.,11732,"40.852904, -73.537599","East Norwich, New York",3804,2737.67,"#3,502",117
58,358.,11754,"40.886865, -73.245725","Kings Park, New York",18847,2728.64,"#3,511",117
59,359.,11715,"40.749738, -73.034888","Blue Point, New York",4407,2723.33,"#3,518",117
60,360.,11752,"40.755849, -73.173780","Islip Terrace, New York",9881,2711.74,"#3,531",117
61,361.,13224,"43.031797, -76.100655","Syracuse, New York",9052,2711.69,"#3,532",132
62,362.,10983,"41.031088, -73.947703","Tappan, New York",5756,2702.92,"#3,543",109
63,363.,11746,"40.814268, -73.362276","Huntington Station, New York",62828,2697.38,"#3,553",117
64,364.,11727,"40.880224, -73.002112","Coram, New York",25603,2696.83,"#3,555",117
65,365.,14615,"43.204250, -77.657326","Rochester, New York",16158,2674.93,"#3,581",146
66,366.,11951,"40.767062, -72.838578","Mastic Beach, New York",12794,2627.54,"#3,634",119
67,367.,14904,"42.069428, -76.805553","Elmira, New York",16862,2619.31,"#3,640",149
68,368.,10607,"41.039089, -73.811368","White Plains, New York",7493,2612.91,"#3,646",106
69,369.,11030,"40.793409, -73.688549","Manhasset, New York",17148,2610.13,"#3,647",110
70,370.,14068,"43.026309, -78.758472","Getzville, New York",10027,2593.06,"#3,662",140
71,371.,13214,"43.040542, -76.076911","Syracuse, New York",8764,2578.47,"#3,677",132
72,372.,11721,"40.892021, -73.370810","Centerport, New York",6218,2567.78,"#3,691",117
73,373.,13116,"43.074754, -76.007939","Minoa, New York",3351,2557.51,"#3,699",131
74,374.,11576,"40.803242, -73.637480","Roslyn, New York",11810,2536.16,"#3,728",115
